"COWID","ZONE_CODE","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","GWCODE"
95,20,110406,73915393601.3,0,1612.30212402,1612.30212402,167.0955177,168.747318415,18448347.7272,95
395,21,149994,100419049217,0,1386.48046875,1386.48046875,174.204702461,177.07374919,26129660.1409,395
205,22,101929,68240151390.2,0,1341.51928711,1341.51928711,56.2067334614,75.7857762528,5729096.13498,205
200,23,357443,239303480201,0,1680.62670898,1680.62670898,63.4554073671,85.0904420707,22681691.1755,200
450,24,143959,96378694522.5,0,933.622497559,933.622497559,23.6409111137,35.9297812281,3403321.92302,450
235,25,136484,91374278393.2,0,1506.88024902,1506.88024902,140.607673546,129.127356931,19190697.7162,235
230,26,754640,505221750877,0,2120.03344727,2120.03344727,171.622801771,170.314312855,129513431.128,230
712,27,2333632,1562336537870,0,1713.5057373,1713.5057373,127.300742511,143.067032388,297073086.349,712
645,28,653435,437466308152,0,2135.90332031,2135.90332031,43.87981195,116.984302806,28672604.9215,645
663,29,133652,89478290904.5,0,1367.79492188,1367.79492188,68.3800787469,111.386741932,9139134.28469,663
385,30,463133,310061572602,0,2583.88769531,2583.88769531,276.275500664,230.737217322,127952301.449,385
380,31,660127,441946515876,0,1835.97790527,1835.97790527,84.3238865432,96.8147000933,55664474.2521,380
232,32,759,508140714.666,220.726074219,1458.31787109,1237.59179688,657.17174921,214.275783213,498793.357651,232
221,33,15,10042306.6139,307.449188232,801.220947266,493.771759033,533.353619385,155.209715787,8000.30429077,221
339,34,42623,28535548987.1,0,2010.53356934,2010.53356934,387.949641028,274.812502189,16535577.5496,339
325,35,447375,299511794761,0,2070.31225586,2070.31225586,243.02731986,257.770041832,108724347.222,325
331,36,89,59584352.5761,52.2494010925,414.890350342,362.640949249,189.082798176,76.6101980695,16828.3690376,331
355,37,165911,111075275508,0,1443.16040039,1443.16040039,166.711900991,155.358837534,27659338.2053,355
651,38,1495758,1001390697080,0,1525.67785645,1525.67785645,45.1978256337,72.6395984443,67605009.2741,651
350,39,189780,127055263280,0,2621.50512695,2621.50512695,310.391096104,254.890349177,58906022.2186,350
660,40,15076,10093187634.1,0,1397.61254883,1397.61254883,273.40983577,187.237986318,4121926.68407,660
652,41,281375,188376934900,0,1278.16003418,1278.16003418,48.5378457177,75.6677944872,13657336.3388,652
640,42,1163860,779189265047,0,3014.18286133,3014.18286133,260.87173245,247.302538264,303618174.529,640
305,43,125322,83901463298.2,0,2042.1348877,2042.1348877,396.450229122,335.605029632,49683935.6141,305
390,44,61623,41255804031.4,0,173.124237061,173.124237061,20.4212759669,16.6678500942,1258420.28891,390
310,45,138838,92950251044.5,0,696.108459473,696.108459473,42.488229997,57.4362860492,5898980.87633,310
290,46,464388,310901778923,0,1389.60852051,1389.60852051,32.8070004223,53.7212923787,15235177.3121,290
211,47,45682,30583510049.2,0,380.852996826,380.852996826,40.7798032163,43.2677264482,1862902.97053,211
220,48,815876,546218463397,0,2298.50024414,2298.50024414,113.394893989,174.96073952,92516172.5278,220
223,49,264,176744596.405,10.2469511032,1833.53808594,1823.29113483,565.185562062,424.538770335,149208.988384,223
212,50,3852,2578864338.46,6.0827627182,436.392028809,430.30926609,103.247592907,62.3345056884,397709.72788,212
210,51,51288,34336654774.4,0,204.663131714,204.663131714,3.87650648449,9.15533861778,198818.264577,210
225,52,61942,41469370418.7,0,2500.6262207,2500.6262207,527.040428781,394.469737632,32645938.2396,225
375,53,496336,332290553036,0,689.721679688,689.721679688,38.1278923077,34.1596674829,18924245.5564,375
360,54,354511,237340544001,0,1536.15759277,1536.15759277,151.042707796,155.377226736,53546301.3836,360
698,55,462053,309338526526,0,2331.96655273,2331.96655273,71.3252038764,141.370554864,32956024.4267,698
630,56,2427826,1625398206490,0,2767.52246094,2767.52246094,172.963518022,205.202529774,419925326.106,630
700,57,961246,643541804229,0,2887.18774414,2887.18774414,271.345199547,302.581787469,260829487.684,700
790,58,220637,147713626959,0,4449.29443359,4449.29443359,562.308880299,407.795531777,124066144.423,790
710,59,14070466,9419995584870,0,7104.00390625,7104.00390625,221.102706022,259.216200147,3111018107.59,710
740,60,548481,367200958262,0,1739.234375,1739.234375,218.220980288,180.423029174,119690061.49,740
840,61,432126,289302785857,0,2070.50976563,2070.50976563,227.984493723,216.050599113,98518027.3346,840
800,62,767762,514006760703,0,2019.40686035,2019.40686035,120.86136169,155.349989599,92792760.7741,800
920,63,392556,262811181010,0,3488.29345703,3488.29345703,270.081941163,266.642382172,106022286.495,920
850,64,2182845,1461386585380,0,2929.76513672,2929.76513672,88.2021698583,128.259084105,192531665.464,850
900,65,11500394,7699365515280,0,4106.42578125,4106.42578125,15.9829189723,49.4665034701,183809865.452,900
315,66,190522,127552022714,0,1623.81774902,1623.81774902,134.935550784,124.395683719,25708191.0066,315
345,67,380295,254602599583,0,2099.88574219,2099.88574219,215.887573694,199.53299459,82100964.838,345
365,68,32800506,21959515889600,0,3258.00268555,3258.00268555,105.994371593,160.486174834,3476669021.4,365
530,69,1875688,1255748933870,0,2071.38183594,2071.38183594,125.998060938,161.779601148,236333050.924,530
560,70,3065396,2052243101680,0,2035.88952637,2035.88952637,84.4699359633,117.128049123,258933803.822,560
678,71,204559,136949613243,0,1933.29248047,1933.29248047,188.702695753,202.869480202,38600834.7406,678
2,72,14112897,9448402592340,0,3485.76269531,3485.76269531,123.542468904,185.853043987,1743542138.76,2
670,73,2930380,1961851630360,0,1788.59692383,1788.59692383,54.1288136827,93.7589104922,158617993.039,670
